article_id,question_id,part_id,question_number,article_number,article_title,citation_label,parse_status,segment_count,segment_types,missing_segment_types,char_count,warning_types,suspiciously_short,source_url
st.i-ii.q014.a004,st.i-ii.q014,i-ii,14,4,Is counsel of all things that we do?,I-II q.14 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1856,[],False,https://www.newadvent.org/summa/2014.htm#article4
st.i-ii.q014.a005,st.i-ii.q014,i-ii,14,5,Is the process of counsel one of analysis?,I-II q.14 a.5,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1312,[],False,https://www.newadvent.org/summa/2014.htm#article5
st.i-ii.q014.a006,st.i-ii.q014,i-ii,14,6,Is the process of counsel indefinite?,I-II q.14 a.6,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2002,[],False,https://www.newadvent.org/summa/2014.htm#article6
st.i-ii.q015.a001,st.i-ii.q015,i-ii,15,1,Is consent an act of the appetitive or of the apprehensive power?,I-II q.15 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1937,[],False,https://www.newadvent.org/summa/2015.htm#article1
st.i-ii.q015.a002,st.i-ii.q015,i-ii,15,2,Is it to be found in irrational animals?,I-II q.15 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1866,[],False,https://www.newadvent.org/summa/2015.htm#article2
st.i-ii.q015.a003,st.i-ii.q015,i-ii,15,3,Is it directed to the end or to the means?,I-II q.15 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2371,[],False,https://www.newadvent.org/summa/2015.htm#article3
st.i-ii.q015.a004,st.i-ii.q015,i-ii,15,4,Does consent to an act belong to the higher part of the soul only?,I-II q.15 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2034,[],False,https://www.newadvent.org/summa/2015.htm#article4
st.i-ii.q016.a001,st.i-ii.q016,i-ii,16,1,Is use an act of the will?,I-II q.16 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1797,[],False,https://www.newadvent.org/summa/2016.htm#article1
st.i-ii.q016.a002,st.i-ii.q016,i-ii,16,2,Is it to be found in irrational animals?,I-II q.16 a.2,ok,3,"[""resp"", ""ad"", ""ad""]",[],1346,[],False,https://www.newadvent.org/summa/2016.htm#article2
st.i-ii.q016.a003,st.i-ii.q016,i-ii,16,3,"Does it regard the means only, or the end also?",I-II q.16 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1930,[],False,https://www.newadvent.org/summa/2016.htm#article3
st.i-ii.q016.a004,st.i-ii.q016,i-ii,16,4,The relation of use to choice,I-II q.16 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2143,[],False,https://www.newadvent.org/summa/2016.htm#article4
st.i-ii.q017.a001,st.i-ii.q017,i-ii,17,1,Is command an act of the will or of the reason?,I-II q.17 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2428,[],False,https://www.newadvent.org/summa/2017.htm#article1
st.i-ii.q017.a002,st.i-ii.q017,i-ii,17,2,Does command belong to irrational animals?,I-II q.17 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1273,[],False,https://www.newadvent.org/summa/2017.htm#article2
st.i-ii.q017.a003,st.i-ii.q017,i-ii,17,3,The order between command and use,I-II q.17 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1710,[],False,https://www.newadvent.org/summa/2017.htm#article3
st.i-ii.q017.a004,st.i-ii.q017,i-ii,17,4,Are command and the commanded act one act or distinct?,I-II q.17 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2458,[],False,https://www.newadvent.org/summa/2017.htm#article4
st.i-ii.q017.a005,st.i-ii.q017,i-ii,17,5,Is the act of the will commanded?,I-II q.17 a.5,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1493,[],False,https://www.newadvent.org/summa/2017.htm#article5
st.i-ii.q017.a006,st.i-ii.q017,i-ii,17,6,Is the act of the reason commanded?,I-II q.17 a.6,ok,3,"[""resp"", ""ad"", ""ad""]",[],1854,[],False,https://www.newadvent.org/summa/2017.htm#article6
st.i-ii.q017.a007,st.i-ii.q017,i-ii,17,7,Is the act of the sensitive appetite commanded?,I-II q.17 a.7,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3877,[],False,https://www.newadvent.org/summa/2017.htm#article7
st.i-ii.q017.a008,st.i-ii.q017,i-ii,17,8,Is the act of the vegetal soul commanded?,I-II q.17 a.8,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1638,[],False,https://www.newadvent.org/summa/2017.htm#article8
st.i-ii.q017.a009,st.i-ii.q017,i-ii,17,9,Are the acts of the external members commanded?,I-II q.17 a.9,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3558,[],False,https://www.newadvent.org/summa/2017.htm#article9
st.i-ii.q018.a001,st.i-ii.q018,i-ii,18,1,"Is every human action good, or are there evil actions?",I-II q.18 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2706,[],False,https://www.newadvent.org/summa/2018.htm#article1
st.i-ii.q018.a002,st.i-ii.q018,i-ii,18,2,Is the good or evil of a human action derived from its object?,I-II q.18 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2588,[],False,https://www.newadvent.org/summa/2018.htm#article2
st.i-ii.q018.a003,st.i-ii.q018,i-ii,18,3,Is it derived from a circumstance?,I-II q.18 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1331,[],False,https://www.newadvent.org/summa/2018.htm#article3
st.i-ii.q018.a004,st.i-ii.q018,i-ii,18,4,Is it derived from the end?,I-II q.18 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2103,[],False,https://www.newadvent.org/summa/2018.htm#article4
st.i-ii.q018.a005,st.i-ii.q018,i-ii,18,5,Is a human action good or evil in its species?,I-II q.18 a.5,ok,5,"[""resp"", ""ad"", ""ad"", ""ad"", ""ad""]",[],2903,[],False,https://www.newadvent.org/summa/2018.htm#article5
st.i-ii.q018.a006,st.i-ii.q018,i-ii,18,6,Does an action have the species of good or evil from its end?,I-II q.18 a.6,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1623,[],False,https://www.newadvent.org/summa/2018.htm#article6
